"id","name","description","region","status","currency","expected_price","wish_count","image_urls","created_at","updated_at","category_id","additional_info","user_id"
"4c8a87ec-dabe-458a-bb2a-91881f82822a","我的電腦","ASUS電腦最強ASUS以卵擊石","台灣","pending","TWD","66442","4","","2025-08-17T16:03:47.903Z","2025-08-17T16:03:47.903Z","1","她好厲害",""
"4a00e3f0-6fd9-48fa-ae5b-c0cafb79cae9","皮卡丘","皮卡丘很可愛皮卡丘很可愛皮卡丘很可愛","台灣","pending","TWD","14177","77","2025-08-17T16-17-19-512Z_s46kq6.png","2025-08-17T16:17:19.516Z","2025-08-17T16:17:19.516Z","5","不要版權泡我",""
"bd51d20d-5fca-4cc0-98fb-0cfc55e49279","比卡抄","比卡抄比卡抄比卡抄比卡抄","台灣","completed","TWD","21301","12","2025-08-17T16-25-22-395Z_8o7oxc.png","2025-08-17T16:25:22.421Z","2025-08-17T16:25:22.421Z","5","比卡抄比卡抄比卡抄",""
"2c5df065-b16f-410c-8de4-660f2ddb4e45","居家生活","居家生活居家生活居家生活居家生活","居家生活居家生活","completed","TWD","22714","1","","2025-08-17T16:25:53.282Z","2025-08-17T16:25:53.282Z","5","居家生活居家生活",""
"b07cddf1-e120-4583-8664-ec265bf08b0b","Mac Air Book M5","Mac Air Book M5Mac Air Book M5Mac Air Book M5Mac Air Book M5","美國","completed","TWD","40962","13","","2025-08-20T07:55:22.203Z","2025-08-20T07:55:22.203Z","1","",""
"2e8694e4-d981-426a-89e4-def6e1b3a796","iPhone 15 Pro Max","想購買最新款 iPhone，希望能找到好價格。需要 256GB 以上容量，顏色不限。","美國","completed","TWD","25860","20","","2025-08-20T08:22:27.256Z","2025-08-20T08:22:27.256Z","1","希望是全新未拆封，需要提供購買證明",""
"8526ad1b-d73b-4e5e-abd4-ddfae626e1e8","Sony A7 IV 相機","專業攝影需求，希望找到好價格。需要單機身或含基本鏡頭套組。","日本","completed","TWD","33436","3","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","1","最好能附贈相機包和記憶卡",""
"fbd5d4dd-a0b7-4669-bab1-f4090a948404","Dyson V15 吸塵器","家用清潔需求，希望團購。需要完整配件組，包含各種吸頭。","英國","completed","TWD","7800","2","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","5","希望有中文說明書，保固至少一年",""
"b0fd7273-b1da-40ea-97c5-0ce93a8b13b2","Nintendo Switch OLED","想要購買遊戲主機，最好能附贈一些熱門遊戲。","日本","pending","TWD","1255","4","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","8","希望是日版或台版，需要保護貼和收納包",""
"4fc4eed5-35b1-4808-9d54-fc83fe69c385","Herman Miller Aeron 人體工學椅","長時間辦公需要好的椅子，希望是正品，size B 或 C。","美國","completed","TWD","15649","78","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","5","需要完整保固，最好是近期生產",""
"d2f3fb1a-9b92-433f-86fb-16761b029e44","iPad Pro 12.9吋","繪圖和筆記使用，需要搭配 Apple Pencil。希望是 M2 晶片版本。","美國","completed","TWD","71267","1","","2025-08-20T08:22:27.258Z","2025-08-20T08:22:27.258Z","1","需要 WiFi + Cellular 版本，256GB 以上",""
